"시점","행정구역별(1)","동물치료기관별(1)",데이터
"2014","경북","관리단체 또는 축산관련 기관",0
"2014","경북","야생동물 구조센터",2
"2014","경남","계",20
"2014","경남","동물병원",17
"2014","경남","관리단체 또는 축산관련 기관",0
"2014","경남","야생동물 구조센터",3
"2014","제주","계",6
"2014","제주","동물병원",5
"2014","제주","관리단체 또는 축산관련 기관",0
"2014","제주","야생동물 구조센터",1
"2015","전국","계",230
"2015","전국","동물병원",202
"2015","전국","관리단체 또는 축산관련 기관",7
"2015","전국","야생동물 구조센터",21
"2015","서울","계",23
"2015","서울","동물병원",21
"2015","서울","야생동물 구조센터",2
"2015","부산","계",14
"2015","부산","동물병원",13
"2015","부산","야생동물 구조센터",1
"2015","대구","계",10
"2015","대구","동물병원",9
"2015","대구","야생동물 구조센터",1
"2015","인천","계",4
"2015","인천","동물병원",4
"2015","광주","계",2
"2015","광주","동물병원",2
"2015","대전","계",5
"2015","대전","동물병원",5
"2015","울산","계",5
"2015","울산","동물병원",4
"2015","울산","야생동물 구조센터",1
"2015","세종","계",1
"2015","세종","동물병원",1
"2015","경기","계",26
"2015","경기","동물병원",24
"2015","경기","야생동물 구조센터",2
"2015","강원","계",20
"2015","강원","동물병원",12
"2015","강원","관리단체 또는 축산관련 기관",5
"2015","강원","야생동물 구조센터",3
"2015","충북","계",8
"2015","충북","동물병원",5
"2015","충북","관리단체 또는 축산관련 기관",2
"2015","충북","야생동물 구조센터",1
"2015","충남","계",19
"2015","충남","동물병원",17
"2015","충남","야생동물 구조센터",2
"2015","전북","계",19
"2015","전북","동물병원",17
"2015","전북","야생동물 구조센터",2
"2015","전남","계",17
"2015","전남","동물병원",15
"2015","전남","야생동물 구조센터",2
"2015","경북","계",32
"2015","경북","동물병원",30
"2015","경북","야생동물 구조센터",2
"2015","경남","계",20
"2015","경남","동물병원",19
"2015","경남","야생동물 구조센터",1
"2015","제주","계",5
"2015","제주","동물병원",4
"2015","제주","야생동물 구조센터",1
"2016","전국","계",224
"2016","전국","동물병원",193
"2016","전국","관리단체 또는 축산관련 기관",9
"2016","전국","야생동물 구조센터",22
"2016","서울","계",22
"2016","서울","동물병원",20
"2016","서울","관리단체 또는 축산관련 기관",-
"2016","서울","야생동물 구조센터",2
"2016","부산","계",14
"2016","부산","동물병원",13
"2016","부산","관리단체 또는 축산관련 기관",-
"2016","부산","야생동물 구조센터",1
"2016","대구","계",10
"2016","대구","동물병원",9
"2016","대구","관리단체 또는 축산관련 기관",-
"2016","대구","야생동물 구조센터",1
"2016","인천","계",4
"2016","인천","동물병원",4
"2016","인천","관리단체 또는 축산관련 기관",-
"2016","인천","야생동물 구조센터",-
"2016","광주","계",2
"2016","광주","동물병원",2
"2016","광주","관리단체 또는 축산관련 기관",-
"2016","광주","야생동물 구조센터",-
"2016","대전","계",5
"2016","대전","동물병원",5
"2016","대전","관리단체 또는 축산관련 기관",-
"2016","대전","야생동물 구조센터",-
"2016","울산","계",5
"2016","울산","동물병원",4
"2016","울산","관리단체 또는 축산관련 기관",-
"2016","울산","야생동물 구조센터",1
"2016","경기","계",25
"2016","경기","동물병원",23
"2016","경기","관리단체 또는 축산관련 기관",-
"2016","경기","야생동물 구조센터",2
"2016","강원","계",20
"2016","강원","동물병원",12
"2016","강원","관리단체 또는 축산관련 기관",5
"2016","강원","야생동물 구조센터",3
"2016","충북","계",8
"2016","충북","동물병원",5
"2016","충북","관리단체 또는 축산관련 기관",2
"2016","충북","야생동물 구조센터",1
"2016","충남","계",16
"2016","충남","동물병원",14
"2016","충남","관리단체 또는 축산관련 기관",-
"2016","충남","야생동물 구조센터",2
"2016","전북","계",19
"2016","전북","동물병원",17
"2016","전북","관리단체 또는 축산관련 기관",-
"2016","전북","야생동물 구조센터",2
"2016","전남","계",17
"2016","전남","동물병원",15
"2016","전남","관리단체 또는 축산관련 기관",-
"2016","전남","야생동물 구조센터",2
"2016","경북","계",32
"2016","경북","동물병원",30
"2016","경북","관리단체 또는 축산관련 기관",-
"2016","경북","야생동물 구조센터",2
"2016","경남","계",20
"2016","경남","동물병원",17
"2016","경남","관리단체 또는 축산관련 기관",-
"2016","경남","야생동물 구조센터",3
"2016","제주","계",5
"2016","제주","동물병원",3
"2016","제주","관리단체 또는 축산관련 기관",2
"2016","제주","야생동물 구조센터",-
"2017","전국","계",218
"2017","전국","동물병원",186
"2017","전국","관리단체 또는 축산관련 기관",10
"2017","전국","야생동물 구조센터",22
"2017","서울","계",21
"2017","서울","동물병원",19
"2017","서울","관리단체 또는 축산관련 기관",-
"2017","서울","야생동물 구조센터",2
"2017","부산","계",14
"2017","부산","동물병원",13
"2017","부산","관리단체 또는 축산관련 기관",-
"2017","부산","야생동물 구조센터",1
"2017","대구","계",10
"2017","대구","동물병원",9
"2017","대구","관리단체 또는 축산관련 기관",1
"2017","대구","야생동물 구조센터",-
"2017","인천","계",4
"2017","인천","동물병원",4
"2017","인천","관리단체 또는 축산관련 기관",-
"2017","인천","야생동물 구조센터",-
"2017","광주","계",2
"2017","광주","동물병원",2
"2017","광주","관리단체 또는 축산관련 기관",-
"2017","광주","야생동물 구조센터",-
"2017","대전","계",6
"2017","대전","동물병원",5
"2017","대전","관리단체 또는 축산관련 기관",-
"2017","대전","야생동물 구조센터",1
"2017","울산","계",5
"2017","울산","동물병원",4
"2017","울산","관리단체 또는 축산관련 기관",-
"2017","울산","야생동물 구조센터",1
"2017","세종","계",-
"2017","세종","동물병원",-
"2017","세종","관리단체 또는 축산관련 기관",-
"2017","세종","야생동물 구조센터",-
"2017","경기","계",24
"2017","경기","동물병원",22
"2017","경기","관리단체 또는 축산관련 기관",-
"2017","경기","야생동물 구조센터",2
"2017","강원","계",20
"2017","강원","동물병원",12
"2017","강원","관리단체 또는 축산관련 기관",5
"2017","강원","야생동물 구조센터",3
"2017","충북","계",8
"2017","충북","동물병원",5
"2017","충북","관리단체 또는 축산관련 기관",2
"2017","충북","야생동물 구조센터",1
"2017","충남","계",16
"2017","충남","동물병원",14
"2017","충남","관리단체 또는 축산관련 기관",-
"2017","충남","야생동물 구조센터",2
"2017","전북","계",19
"2017","전북","동물병원",17
"2017","전북","관리단체 또는 축산관련 기관",-
"2017","전북","야생동물 구조센터",2
"2017","전남","계",16
"2017","전남","동물병원",14
"2017","전남","관리단체 또는 축산관련 기관",-
"2017","전남","야생동물 구조센터",2
"2017","경북","계",29
"2017","경북","동물병원",27
"2017","경북","관리단체 또는 축산관련 기관",-
"2017","경북","야생동물 구조센터",2
"2017","경남","계",19
"2017","경남","동물병원",16
"2017","경남","관리단체 또는 축산관련 기관",-
"2017","경남","야생동물 구조센터",3
"2017","제주","계",5
"2017","제주","동물병원",3
"2017","제주","관리단체 또는 축산관련 기관",2
"2017","제주","야생동물 구조센터",-
"2018","전국","계",211
"2018","전국","동물병원",174
"2018","전국","관리단체 또는 축산관련 기관",11
"2018","전국","야생동물 구조센터",26
"2018","서울","계",19
"2018","서울","동물병원",17
"2018","서울","야생동물 구조센터",2
"2018","부산","계",14
"2018","부산","동물병원",13
"2018","부산","야생동물 구조센터",1
"2018","대구","계",11
"2018","대구","동물병원",10
"2018","대구","야생동물 구조센터",1
"2018","인천","계",4
"2018","인천","동물병원",3
"2018","인천","야생동물 구조센터",1
"2018","광주","계",3
"2018","광주","동물병원",2
"2018","광주","야생동물 구조센터",1
"2018","대전","계",6
"2018","대전","동물병원",5
"2018","대전","야생동물 구조센터",1
"2018","울산","계",5
"2018","울산","동물병원",4
"2018","울산","야생동물 구조센터",1
"2018","세종","계",-
"2018","경기","계",14
"2018","경기","동물병원",13
"2018","경기","야생동물 구조센터",1
"2018","강원","계",20
"2018","강원","동물병원",12
"2018","강원","관리단체 또는 축산관련 기관",5
"2018","강원","야생동물 구조센터",3
"2018","충북","계",7
"2018","충북","동물병원",4
"2018","충북","관리단체 또는 축산관련 기관",2
"2018","충북","야생동물 구조센터",1
"2018","충남","계",16
"2018","충남","동물병원",13
"2018","충남","야생동물 구조센터",3
"2018","전북","계",19
"2018","전북","동물병원",15
"2018","전북","관리단체 또는 축산관련 기관",2
"2018","전북","야생동물 구조센터",2
"2018","전남","계",17
"2018","전남","동물병원",15
"2018","전남","야생동물 구조센터",2
"2018","경북","계",28
"2018","경북","동물병원",26
"2018","경북","야생동물 구조센터",2
"2018","경남","계",21
"2018","경남","동물병원",18
"2018","경남","야생동물 구조센터",3
"2018","제주","계",7
"2018","제주","동물병원",4
"2018","제주","관리단체 또는 축산관련 기관",2
"2018","제주","야생동물 구조센터",1
"2019","전국","계",206
"2019","전국","동물병원",171
"2019","전국","관리단체 또는 축산관련 기관",21
"2019","전국","야생동물 구조센터",14
"2019","서울","계",19
"2019","서울","동물병원",17
"2019","서울","관리단체 또는 축산관련 기관",2
"2019","서울","야생동물 구조센터",-
"2019","부산","계",14
"2019","부산","동물병원",13
"2019","부산","관리단체 또는 축산관련 기관",-
"2019","부산","야생동물 구조센터",1
"2019","대구","계",11
"2019","대구","동물병원",10
"2019","대구","관리단체 또는 축산관련 기관",1
"2019","대구","야생동물 구조센터",-
"2019","인천","계",4
"2019","인천","동물병원",3
"2019","인천","관리단체 또는 축산관련 기관",-
"2019","인천","야생동물 구조센터",1
"2019","광주","계",3
"2019","광주","동물병원",2
"2019","광주","관리단체 또는 축산관련 기관",-
"2019","광주","야생동물 구조센터",1
"2019","대전","계",6
"2019","대전","동물병원",5
"2019","대전","관리단체 또는 축산관련 기관",-
"2019","대전","야생동물 구조센터",1
"2019","울산","계",5
"2019","울산","동물병원",4
"2019","울산","관리단체 또는 축산관련 기관",-
"2019","울산","야생동물 구조센터",1
"2019","세종","계",-
"2019","세종","동물병원",-
"2019","세종","관리단체 또는 축산관련 기관",-
"2019","세종","야생동물 구조센터",-
"2019","경기","계",14
"2019","경기","동물병원",13
"2019","경기","관리단체 또는 축산관련 기관",-
"2019","경기","야생동물 구조센터",1
"2019","강원","계",20
"2019","강원","동물병원",12
"2019","강원","관리단체 또는 축산관련 기관",7
"2019","강원","야생동물 구조센터",1
"2019","충북","계",7
"2019","충북","동물병원",4
"2019","충북","관리단체 또는 축산관련 기관",2
"2019","충북","야생동물 구조센터",1
"2019","충남","계",16
"2019","충남","동물병원",13
"2019","충남","관리단체 또는 축산관련 기관",2
"2019","충남","야생동물 구조센터",1
"2019","전북","계",19
"2019","전북","동물병원",15
"2019","전북","관리단체 또는 축산관련 기관",3
"2019","전북","야생동물 구조센터",1
"2019","전남","계",17
"2019","전남","동물병원",15
"2019","전남","관리단체 또는 축산관련 기관",1
"2019","전남","야생동물 구조센터",1
"2019","경북","계",26
"2019","경북","동물병원",24
"2019","경북","관리단체 또는 축산관련 기관",1
"2019","경북","야생동물 구조센터",1
"2019","경남","계",21
"2019","경남","동물병원",18
"2019","경남","관리단체 또는 축산관련 기관",2
"2019","경남","야생동물 구조센터",1
"2019","제주","계",4
"2019","제주","동물병원",3
"2019","제주","관리단체 또는 축산관련 기관",-
"2019","제주","야생동물 구조센터",1
"2020","전국","계",204
"2020","전국","동물병원",169
"2020","전국","관리단체 또는 축산관련 기관",21
"2020","전국","야생동물 구조센터",14
"2020","서울","계",19
"2020","서울","동물병원",17
"2020","서울","관리단체 또는 축산관련 기관",2
"2020","서울","야생동물 구조센터",-
"2020","부산","계",14
"2020","부산","동물병원",13
"2020","부산","관리단체 또는 축산관련 기관",-
"2020","부산","야생동물 구조센터",1
"2020","대구","계",11
"2020","대구","동물병원",10
"2020","대구","관리단체 또는 축산관련 기관",1
"2020","대구","야생동물 구조센터",-
"2020","인천","계",4
"2020","인천","동물병원",3
"2020","인천","관리단체 또는 축산관련 기관",-
"2020","인천","야생동물 구조센터",1
"2020","광주","계",3
"2020","광주","동물병원",2
"2020","광주","관리단체 또는 축산관련 기관",-
"2020","광주","야생동물 구조센터",1
"2020","대전","계",6
"2020","대전","동물병원",5
"2020","대전","관리단체 또는 축산관련 기관",-
"2020","대전","야생동물 구조센터",1
"2020","울산","계",5
"2020","울산","동물병원",4
"2020","울산","관리단체 또는 축산관련 기관",-
"2020","울산","야생동물 구조센터",1
"2020","세종","계",-
"2020","세종","동물병원",-
"2020","세종","관리단체 또는 축산관련 기관",-
"2020","세종","야생동물 구조센터",-
"2020","경기","계",14
"2020","경기","동물병원",13
"2020","경기","관리단체 또는 축산관련 기관",-
"2020","경기","야생동물 구조센터",1
"2020","강원","계",19
"2020","강원","동물병원",11
"2020","강원","관리단체 또는 축산관련 기관",7
"2020","강원","야생동물 구조센터",1
"2020","충북","계",7
"2020","충북","동물병원",4
"2020","충북","관리단체 또는 축산관련 기관",2
"2020","충북","야생동물 구조센터",1
"2020","충남","계",16
"2020","충남","동물병원",13
"2020","충남","관리단체 또는 축산관련 기관",2
"2020","충남","야생동물 구조센터",1
"2020","전북","계",19
"2020","전북","동물병원",15
"2020","전북","관리단체 또는 축산관련 기관",3
"2020","전북","야생동물 구조센터",1
"2020","전남","계",17
"2020","전남","동물병원",15
"2020","전남","관리단체 또는 축산관련 기관",1
"2020","전남","야생동물 구조센터",1
"2020","경북","계",25
"2020","경북","동물병원",23
"2020","경북","관리단체 또는 축산관련 기관",1
"2020","경북","야생동물 구조센터",1
"2020","경남","계",21
"2020","경남","동물병원",18
"2020","경남","관리단체 또는 축산관련 기관",2
"2020","경남","야생동물 구조센터",1
"2020","제주","계",4
"2020","제주","동물병원",3
"2020","제주","관리단체 또는 축산관련 기관",-
"2020","제주","야생동물 구조센터",1
"2021","전국","계",208
"2021","전국","동물병원",172
"2021","전국","관리단체 또는 축산관련 기관",21
"2021","전국","야생동물 구조센터",15
"2021","서울","계",19
"2021","서울","동물병원",17
"2021","서울","관리단체 또는 축산관련 기관",2
"2021","서울","야생동물 구조센터",-
"2021","부산","계",14
"2021","부산","동물병원",13
"2021","부산","관리단체 또는 축산관련 기관",-
"2021","부산","야생동물 구조센터",1
"2021","대구","계",11
"2021","대구","동물병원",10
"2021","대구","관리단체 또는 축산관련 기관",1
"2021","대구","야생동물 구조센터",-
"2021","인천","계",4
"2021","인천","동물병원",3
"2021","인천","관리단체 또는 축산관련 기관",-
"2021","인천","야생동물 구조센터",1
"2021","광주","계",3
"2021","광주","동물병원",2
"2021","광주","관리단체 또는 축산관련 기관",-
"2021","광주","야생동물 구조센터",1
"2021","대전","계",6
"2021","대전","동물병원",5
"2021","대전","관리단체 또는 축산관련 기관",-
"2021","대전","야생동물 구조센터",1
"2021","울산","계",5
"2021","울산","동물병원",4
"2021","울산","관리단체 또는 축산관련 기관",-
"2021","울산","야생동물 구조센터",1
"2021","세종","계",-
"2021","세종","동물병원",-
"2021","세종","관리단체 또는 축산관련 기관",-
"2021","세종","야생동물 구조센터",-
"2021","경기","계",15
"2021","경기","동물병원",13
"2021","경기","관리단체 또는 축산관련 기관",-
"2021","경기","야생동물 구조센터",2
"2021","강원","계",19
"2021","강원","동물병원",11
"2021","강원","관리단체 또는 축산관련 기관",7
"2021","강원","야생동물 구조센터",1
"2021","충북","계",8
"2021","충북","동물병원",5
"2021","충북","관리단체 또는 축산관련 기관",2
"2021","충북","야생동물 구조센터",1
"2021","충남","계",16
"2021","충남","동물병원",13
"2021","충남","관리단체 또는 축산관련 기관",2
"2021","충남","야생동물 구조센터",1
"2021","전북","계",19
"2021","전북","동물병원",15
"2021","전북","관리단체 또는 축산관련 기관",3
"2021","전북","야생동물 구조센터",1
"2021","전남","계",17
"2021","전남","동물병원",15
"2021","전남","관리단체 또는 축산관련 기관",1
"2021","전남","야생동물 구조센터",1
"2021","경북","계",26
"2021","경북","동물병원",24
"2021","경북","관리단체 또는 축산관련 기관",1
"2021","경북","야생동물 구조센터",1
"2021","경남","계",22
"2021","경남","동물병원",19
"2021","경남","관리단체 또는 축산관련 기관",2
"2021","경남","야생동물 구조센터",1
"2021","제주","계",4
"2021","제주","동물병원",3
"2021","제주","관리단체 또는 축산관련 기관",-
"2021","제주","야생동물 구조센터",1
